scheduler,code,q,columns,layers,qubits,volume,idle,sec,floor,best_cols,q_rel,cols_rel,collapsed_to_serial,n_methods,common,q_n,cols_n,q_lo,q_hi,c_lo,c_hi
greedy,"[[21,2,6]]",49,66,62,49,3137.0,97.0,33.4,43,28,1.1395348837209303,2.357142857142857,False,3,True,0.10909090909090909,0.3210815378115752,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",50,62,58,50,2992.0,108.0,30.4,43,28,1.1627906976744187,2.2142857142857144,False,3,True,0.12727272727272726,0.2872834811998305,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",51,59,55,51,2919.0,90.0,29.6,43,28,1.186046511627907,2.107142857142857,False,3,True,0.14545454545454545,0.2619349387410219,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",52,59,55,51,2919.0,149.0,30.2,43,28,1.2093023255813953,2.107142857142857,False,3,True,0.16363636363636364,0.2619349387410219,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",53,58,54,53,2955.0,119.0,28.8,43,28,1.2325581395348837,2.0714285714285716,False,3,True,0.18181818181818182,0.2534854245880857,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",54,55,51,54,2870.0,100.0,25.9,43,28,1.255813953488372,1.9642857142857142,False,3,True,0.2,0.22813688212927713,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",55,53,49,55,2774.0,141.0,25.0,43,28,1.2790697674418605,1.8928571428571428,False,3,True,0.21818181818181817,0.21123785382340476,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",56,50,46,56,2681.0,119.0,23.5,43,28,1.302325581395349,1.7857142857142858,False,3,True,0.23636363636363636,0.1858893113645962,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",57,50,46,56,2681.0,169.0,23.3,43,28,1.3255813953488371,1.7857142857142858,False,3,True,0.2545454545454545,0.1858893113645962,43,98,28,146.35000000000022
greedy,"[[21,2,6]]",58,49,45,58,2671.0,171.0,22.0,43,28,1.3488372093023255,1.75,False,3,True,0.2727272727272727,0.17743979721166,43,98,28,146.35000000000022
