q,columns,layers,qubits,volume,idle,sec,family,method,label_raw,n_labels,q_col,excel_row,n_filled,block_key,instance,idle_true,footprint,util
37,184,180,34,5224,1584,0.1,random,cap_sweep,180,1,8,6,7,34,N=180,1032,6256,0.8350383631713555
38,95,91,38,2910,700,0.1,random,cap_sweep,180,1,8,7,7,34,N=180,700,3610,0.8060941828254847
39,95,91,38,2910,795,0.1,random,cap_sweep,180,1,8,8,7,34,N=180,700,3610,0.8060941828254847
40,95,91,38,2910,890,0.1,random,cap_sweep,180,1,8,9,7,34,N=180,700,3610,0.8060941828254847
41,95,91,38,2910,985,0.1,random,cap_sweep,180,1,8,10,7,34,N=180,700,3610,0.8060941828254847
42,95,91,38,2910,1080,0.1,random,cap_sweep,180,1,8,11,7,34,N=180,700,3610,0.8060941828254847
43,95,91,38,2910,1175,0.1,random,cap_sweep,180,1,8,12,7,34,N=180,700,3610,0.8060941828254847
44,95,91,38,2910,1270,0.1,random,cap_sweep,180,1,8,13,7,34,N=180,700,3610,0.8060941828254847
45,65,61,45,2176,749,0.1,random,cap_sweep,180,1,8,14,7,34,N=180,749,2925,0.7439316239316239
46,65,61,45,2176,814,0.1,random,cap_sweep,180,1,8,15,7,34,N=180,749,2925,0.7439316239316239
47,65,61,45,2176,879,0.1,random,cap_sweep,180,1,8,16,7,34,N=180,749,2925,0.7439316239316239
48,50,46,48,1827,573,0.1,random,cap_sweep,180,1,8,17,7,34,N=180,573,2400,0.76125
49,50,46,48,1827,623,0.1,random,cap_sweep,180,1,8,18,7,34,N=180,573,2400,0.76125
50,40,36,50,1610,390,0.1,random,cap_sweep,180,1,8,19,7,34,N=180,390,2000,0.805
51,40,36,50,1610,430,0.1,random,cap_sweep,180,1,8,20,7,34,N=180,390,2000,0.805
52,40,36,50,1610,470,0.1,random,cap_sweep,180,1,8,21,7,34,N=180,390,2000,0.805
53,34,30,53,1409,393,0.1,random,cap_sweep,180,1,8,22,7,34,N=180,393,1802,0.7819089900110988
54,34,30,53,1409,427,0.1,random,cap_sweep,180,1,8,23,7,34,N=180,393,1802,0.7819089900110988
55,34,30,53,1409,461,0.1,random,cap_sweep,180,1,8,24,7,34,N=180,393,1802,0.7819089900110988
56,34,30,53,1409,495,0.1,random,cap_sweep,180,1,8,25,7,34,N=180,393,1802,0.7819089900110988
57,34,30,53,1409,529,0.1,random,cap_sweep,180,1,8,26,7,34,N=180,393,1802,0.7819089900110988
58,30,26,58,1357,383,0.1,random,cap_sweep,180,1,8,27,7,34,N=180,383,1740,0.7798850574712644
59,28,24,59,1292,360,0.1,random,cap_sweep,180,1,8,28,7,34,N=180,360,1652,0.7820823244552058
60,28,24,59,1292,388,0.1,random,cap_sweep,180,1,8,29,7,34,N=180,360,1652,0.7820823244552058
61,28,24,59,1292,416,0.1,random,cap_sweep,180,1,8,30,7,34,N=180,360,1652,0.7820823244552058
62,28,24,59,1292,444,0.1,random,cap_sweep,180,1,8,31,7,34,N=180,360,1652,0.7820823244552058
63,28,24,59,1292,472,0.1,random,cap_sweep,180,1,8,32,7,34,N=180,360,1652,0.7820823244552058
64,28,24,59,1292,500,0.1,random,cap_sweep,180,1,8,33,7,34,N=180,360,1652,0.7820823244552058
65,28,24,59,1292,528,0.1,random,cap_sweep,180,1,8,34,7,34,N=180,360,1652,0.7820823244552058
66,28,24,59,1292,556,0.1,random,cap_sweep,180,1,8,35,7,34,N=180,360,1652,0.7820823244552058
67,28,24,59,1292,584,0.1,random,cap_sweep,180,1,8,36,7,34,N=180,360,1652,0.7820823244552058
68,26,22,68,1247,521,0.1,random,cap_sweep,180,1,8,37,7,34,N=180,521,1768,0.705316742081448
69,26,22,68,1247,547,0.1,random,cap_sweep,180,1,8,38,7,34,N=180,521,1768,0.705316742081448
70,23,19,70,1220,390,0.1,random,cap_sweep,180,1,8,39,7,34,N=180,390,1610,0.7577639751552795
71,23,19,70,1220,413,0.1,random,cap_sweep,180,1,8,40,7,34,N=180,390,1610,0.7577639751552795
72,23,19,70,1220,436,0.1,random,cap_sweep,180,1,8,41,7,34,N=180,390,1610,0.7577639751552795
73,23,19,70,1220,459,0.1,random,cap_sweep,180,1,8,42,7,34,N=180,390,1610,0.7577639751552795
74,23,19,70,1220,482,0.1,random,cap_sweep,180,1,8,43,7,34,N=180,390,1610,0.7577639751552795
75,23,19,70,1220,505,0.1,random,cap_sweep,180,1,8,44,7,34,N=180,390,1610,0.7577639751552795
76,23,19,70,1220,528,0.1,random,cap_sweep,180,1,8,45,7,34,N=180,390,1610,0.7577639751552795
77,23,19,70,1220,551,0.1,random,cap_sweep,180,1,8,46,7,34,N=180,390,1610,0.7577639751552795
78,19,15,78,1131,351,0.1,random,cap_sweep,180,1,8,47,7,34,N=180,351,1482,0.7631578947368421
79,19,15,78,1131,370,0.1,random,cap_sweep,180,1,8,48,7,34,N=180,351,1482,0.7631578947368421
80,19,15,78,1131,389,0.1,random,cap_sweep,180,1,8,49,7,34,N=180,351,1482,0.7631578947368421
81,19,15,78,1131,408,0.1,random,cap_sweep,180,1,8,50,7,34,N=180,351,1482,0.7631578947368421
82,19,15,78,1131,427,0.1,random,cap_sweep,180,1,8,51,7,34,N=180,351,1482,0.7631578947368421
83,19,15,78,1131,446,0.1,random,cap_sweep,180,1,8,52,7,34,N=180,351,1482,0.7631578947368421
84,19,15,78,1131,465,0.1,random,cap_sweep,180,1,8,53,7,34,N=180,351,1482,0.7631578947368421
85,19,15,78,1131,484,0.1,random,cap_sweep,180,1,8,54,7,34,N=180,351,1482,0.7631578947368421
86,19,15,78,1131,503,0.1,random,cap_sweep,180,1,8,55,7,34,N=180,351,1482,0.7631578947368421
87,19,15,78,1131,522,0.1,random,cap_sweep,180,1,8,56,7,34,N=180,351,1482,0.7631578947368421
88,19,15,78,1131,541,0.1,random,cap_sweep,180,1,8,57,7,34,N=180,351,1482,0.7631578947368421
89,19,15,78,1131,560,0.1,random,cap_sweep,180,1,8,58,7,34,N=180,351,1482,0.7631578947368421
90,16,12,90,1099,341,0.1,random,cap_sweep,180,1,8,59,7,34,N=180,341,1440,0.7631944444444444
91,16,12,90,1099,357,0.1,random,cap_sweep,180,1,8,60,7,34,N=180,341,1440,0.7631944444444444
92,16,12,90,1099,373,0.1,random,cap_sweep,180,1,8,61,7,34,N=180,341,1440,0.7631944444444444
93,16,12,90,1099,389,0.1,random,cap_sweep,180,1,8,62,7,34,N=180,341,1440,0.7631944444444444
94,16,12,90,1099,405,0.1,random,cap_sweep,180,1,8,63,7,34,N=180,341,1440,0.7631944444444444
95,16,12,90,1099,421,0.1,random,cap_sweep,180,1,8,64,7,34,N=180,341,1440,0.7631944444444444
96,16,12,90,1099,437,0.1,random,cap_sweep,180,1,8,65,7,34,N=180,341,1440,0.7631944444444444
97,16,12,90,1099,453,0.1,random,cap_sweep,180,1,8,66,7,34,N=180,341,1440,0.7631944444444444
98,16,12,90,1099,469,0.1,random,cap_sweep,180,1,8,67,7,34,N=180,341,1440,0.7631944444444444
59,292,288,59,12638,4590,0.3,random,cap_sweep,288,1,16,3,7,59,N=288,4590,17228,0.7335732528442072
60,292,288,59,12638,4882,0.3,random,cap_sweep,288,1,16,4,7,59,N=288,4590,17228,0.7335732528442072
61,292,288,59,12638,5174,0.3,random,cap_sweep,288,1,16,5,7,59,N=288,4590,17228,0.7335732528442072
62,148,144,62,6767,2409,0.3,random,cap_sweep,288,1,16,6,7,59,N=288,2409,9176,0.7374673060156931
63,148,144,62,6767,2557,0.3,random,cap_sweep,288,1,16,7,7,59,N=288,2409,9176,0.7374673060156931
64,148,144,62,6767,2705,0.3,random,cap_sweep,288,1,16,8,7,59,N=288,2409,9176,0.7374673060156931
65,148,144,62,6767,2853,0.3,random,cap_sweep,288,1,16,9,7,59,N=288,2409,9176,0.7374673060156931
66,101,97,66,4793,1873,0.3,random,cap_sweep,288,1,16,10,7,59,N=288,1873,6666,0.719021902190219
67,101,97,66,4793,1974,0.3,random,cap_sweep,288,1,16,11,7,59,N=288,1873,6666,0.719021902190219
68,77,73,68,3894,1342,0.3,random,cap_sweep,288,1,16,12,7,59,N=288,1342,5236,0.7436974789915967
69,77,73,68,3894,1419,0.3,random,cap_sweep,288,1,16,13,7,59,N=288,1342,5236,0.7436974789915967
70,77,73,68,3894,1496,0.3,random,cap_sweep,288,1,16,14,7,59,N=288,1342,5236,0.7436974789915967
71,77,73,68,3894,1573,0.3,random,cap_sweep,288,1,16,15,7,59,N=288,1342,5236,0.7436974789915967
72,77,73,68,3894,1650,0.3,random,cap_sweep,288,1,16,16,7,59,N=288,1342,5236,0.7436974789915967
73,47,43,73,2699,732,0.3,random,cap_sweep,288,1,16,17,7,59,N=288,732,3431,0.7866511221218304
74,47,43,73,2699,779,0.3,random,cap_sweep,288,1,16,18,7,59,N=288,732,3431,0.7866511221218304
75,47,43,73,2699,826,0.3,random,cap_sweep,288,1,16,19,7,59,N=288,732,3431,0.7866511221218304
76,47,43,73,2699,873,0.3,random,cap_sweep,288,1,16,20,7,59,N=288,732,3431,0.7866511221218304
77,47,43,73,2699,920,0.3,random,cap_sweep,288,1,16,21,7,59,N=288,732,3431,0.7866511221218304
78,47,43,73,2699,967,0.3,random,cap_sweep,288,1,16,22,7,59,N=288,732,3431,0.7866511221218304
79,41,37,79,2516,723,0.3,random,cap_sweep,288,1,16,23,7,59,N=288,723,3239,0.7767829577029948
80,41,37,79,2516,764,0.3,random,cap_sweep,288,1,16,24,7,59,N=288,723,3239,0.7767829577029948
81,41,37,79,2516,805,0.3,random,cap_sweep,288,1,16,25,7,59,N=288,723,3239,0.7767829577029948
82,41,37,79,2516,846,0.3,random,cap_sweep,288,1,16,26,7,59,N=288,723,3239,0.7767829577029948
83,41,37,79,2516,887,0.3,random,cap_sweep,288,1,16,27,7,59,N=288,723,3239,0.7767829577029948
84,38,34,84,2358,834,0.3,random,cap_sweep,288,1,16,28,7,59,N=288,834,3192,0.7387218045112782
85,38,34,84,2358,872,0.3,random,cap_sweep,288,1,16,29,7,59,N=288,834,3192,0.7387218045112782
86,38,34,84,2358,910,0.3,random,cap_sweep,288,1,16,30,7,59,N=288,834,3192,0.7387218045112782
87,38,34,84,2358,948,0.3,random,cap_sweep,288,1,16,31,7,59,N=288,834,3192,0.7387218045112782
88,38,34,84,2358,986,0.3,random,cap_sweep,288,1,16,32,7,59,N=288,834,3192,0.7387218045112782
89,35,31,89,2291,824,0.3,random,cap_sweep,288,1,16,33,7,59,N=288,824,3115,0.7354735152487961
90,32,28,90,2152,728,0.3,random,cap_sweep,288,1,16,34,7,59,N=288,728,2880,0.7472222222222222
91,32,28,90,2152,760,0.3,random,cap_sweep,288,1,16,35,7,59,N=288,728,2880,0.7472222222222222
92,32,28,90,2152,792,0.3,random,cap_sweep,288,1,16,36,7,59,N=288,728,2880,0.7472222222222222
93,32,28,90,2152,824,0.3,random,cap_sweep,288,1,16,37,7,59,N=288,728,2880,0.7472222222222222
94,29,25,94,2080,646,0.3,random,cap_sweep,288,1,16,38,7,59,N=288,646,2726,0.7630227439471754
95,29,25,94,2080,675,0.3,random,cap_sweep,288,1,16,39,7,59,N=288,646,2726,0.7630227439471754
96,28,24,96,2022,666,0.3,random,cap_sweep,288,1,16,40,7,59,N=288,666,2688,0.7522321428571429
97,28,24,96,2022,694,0.3,random,cap_sweep,288,1,16,41,7,59,N=288,666,2688,0.7522321428571429
98,28,24,96,2022,722,0.3,random,cap_sweep,288,1,16,42,7,59,N=288,666,2688,0.7522321428571429
67,374,370,67,19396,5662,0.4,random,cap_sweep,370,1,0,3,7,67,N=370,5662,25058,0.7740442174155958
68,374,370,67,19396,6036,0.4,random,cap_sweep,370,1,0,4,7,67,N=370,5662,25058,0.7740442174155958
69,374,370,67,19396,6410,0.4,random,cap_sweep,370,1,0,5,7,67,N=370,5662,25058,0.7740442174155958
70,190,186,70,10229,3071,0.4,random,cap_sweep,370,1,0,6,7,67,N=370,3071,13300,0.7690977443609023
